pair_id,source_id,target_id,source_path,target_path,mask_reference_path,swap_direction
pair_000000,celeba_000001,celeba_015001,data/CelebA_Dataset/CelebA/000001.jpg,data/CelebA_Dataset/CelebA/015001.jpg,data/CelebA_Dataset/CelebA/015001.jpg,A_id_to_B_context
pair_000001,celeba_015001,celeba_000001,data/CelebA_Dataset/CelebA/015001.jpg,data/CelebA_Dataset/CelebA/000001.jpg,data/CelebA_Dataset/CelebA/000001.jpg,B_id_to_A_context
pair_000002,celeba_000002,celeba_015002,data/CelebA_Dataset/CelebA/000002.jpg,data/CelebA_Dataset/CelebA/015002.jpg,data/CelebA_Dataset/CelebA/015002.jpg,A_id_to_B_context
pair_000003,celeba_015002,celeba_000002,data/CelebA_Dataset/CelebA/015002.jpg,data/CelebA_Dataset/CelebA/000002.jpg,data/CelebA_Dataset/CelebA/000002.jpg,B_id_to_A_context
pair_000004,celeba_000003,celeba_015003,data/CelebA_Dataset/CelebA/000003.jpg,data/CelebA_Dataset/CelebA/015003.jpg,data/CelebA_Dataset/CelebA/015003.jpg,A_id_to_B_context
pair_000005,celeba_015003,celeba_000003,data/CelebA_Dataset/CelebA/015003.jpg,data/CelebA_Dataset/CelebA/000003.jpg,data/CelebA_Dataset/CelebA/000003.jpg,B_id_to_A_context
pair_000006,celeba_000004,celeba_015004,data/CelebA_Dataset/CelebA/000004.jpg,data/CelebA_Dataset/CelebA/015004.jpg,data/CelebA_Dataset/CelebA/015004.jpg,A_id_to_B_context
pair_000007,celeba_015004,celeba_000004,data/CelebA_Dataset/CelebA/015004.jpg,data/CelebA_Dataset/CelebA/000004.jpg,data/CelebA_Dataset/CelebA/000004.jpg,B_id_to_A_context
pair_000008,celeba_000005,celeba_015005,data/CelebA_Dataset/CelebA/000005.jpg,data/CelebA_Dataset/CelebA/015005.jpg,data/CelebA_Dataset/CelebA/015005.jpg,A_id_to_B_context
pair_000009,celeba_015005,celeba_000005,data/CelebA_Dataset/CelebA/015005.jpg,data/CelebA_Dataset/CelebA/000005.jpg,data/CelebA_Dataset/CelebA/000005.jpg,B_id_to_A_context
pair_000010,celeba_000006,celeba_015006,data/CelebA_Dataset/CelebA/000006.jpg,data/CelebA_Dataset/CelebA/015006.jpg,data/CelebA_Dataset/CelebA/015006.jpg,A_id_to_B_context
pair_000011,celeba_015006,celeba_000006,data/CelebA_Dataset/CelebA/015006.jpg,data/CelebA_Dataset/CelebA/000006.jpg,data/CelebA_Dataset/CelebA/000006.jpg,B_id_to_A_context
pair_000012,celeba_000007,celeba_015007,data/CelebA_Dataset/CelebA/000007.jpg,data/CelebA_Dataset/CelebA/015007.jpg,data/CelebA_Dataset/CelebA/015007.jpg,A_id_to_B_context
pair_000013,celeba_015007,celeba_000007,data/CelebA_Dataset/CelebA/015007.jpg,data/CelebA_Dataset/CelebA/000007.jpg,data/CelebA_Dataset/CelebA/000007.jpg,B_id_to_A_context
pair_000014,celeba_000008,celeba_015008,data/CelebA_Dataset/CelebA/000008.jpg,data/CelebA_Dataset/CelebA/015008.jpg,data/CelebA_Dataset/CelebA/015008.jpg,A_id_to_B_context
pair_000015,celeba_015008,celeba_000008,data/CelebA_Dataset/CelebA/015008.jpg,data/CelebA_Dataset/CelebA/000008.jpg,data/CelebA_Dataset/CelebA/000008.jpg,B_id_to_A_context
pair_000016,celeba_000009,celeba_015009,data/CelebA_Dataset/CelebA/000009.jpg,data/CelebA_Dataset/CelebA/015009.jpg,data/CelebA_Dataset/CelebA/015009.jpg,A_id_to_B_context
pair_000017,celeba_015009,celeba_000009,data/CelebA_Dataset/CelebA/015009.jpg,data/CelebA_Dataset/CelebA/000009.jpg,data/CelebA_Dataset/CelebA/000009.jpg,B_id_to_A_context
pair_000018,celeba_000010,celeba_015010,data/CelebA_Dataset/CelebA/000010.jpg,data/CelebA_Dataset/CelebA/015010.jpg,data/CelebA_Dataset/CelebA/015010.jpg,A_id_to_B_context
pair_000019,celeba_015010,celeba_000010,data/CelebA_Dataset/CelebA/015010.jpg,data/CelebA_Dataset/CelebA/000010.jpg,data/CelebA_Dataset/CelebA/000010.jpg,B_id_to_A_context
pair_000020,celeba_000011,celeba_015011,data/CelebA_Dataset/CelebA/000011.jpg,data/CelebA_Dataset/CelebA/015011.jpg,data/CelebA_Dataset/CelebA/015011.jpg,A_id_to_B_context
pair_000021,celeba_015011,celeba_000011,data/CelebA_Dataset/CelebA/015011.jpg,data/CelebA_Dataset/CelebA/000011.jpg,data/CelebA_Dataset/CelebA/000011.jpg,B_id_to_A_context
pair_000022,celeba_000012,celeba_015012,data/CelebA_Dataset/CelebA/000012.jpg,data/CelebA_Dataset/CelebA/015012.jpg,data/CelebA_Dataset/CelebA/015012.jpg,A_id_to_B_context
pair_000023,celeba_015012,celeba_000012,data/CelebA_Dataset/CelebA/015012.jpg,data/CelebA_Dataset/CelebA/000012.jpg,data/CelebA_Dataset/CelebA/000012.jpg,B_id_to_A_context
pair_000024,celeba_000013,celeba_015013,data/CelebA_Dataset/CelebA/000013.jpg,data/CelebA_Dataset/CelebA/015013.jpg,data/CelebA_Dataset/CelebA/015013.jpg,A_id_to_B_context
pair_000025,celeba_015013,celeba_000013,data/CelebA_Dataset/CelebA/015013.jpg,data/CelebA_Dataset/CelebA/000013.jpg,data/CelebA_Dataset/CelebA/000013.jpg,B_id_to_A_context
pair_000026,celeba_000014,celeba_015014,data/CelebA_Dataset/CelebA/000014.jpg,data/CelebA_Dataset/CelebA/015014.jpg,data/CelebA_Dataset/CelebA/015014.jpg,A_id_to_B_context
pair_000027,celeba_015014,celeba_000014,data/CelebA_Dataset/CelebA/015014.jpg,data/CelebA_Dataset/CelebA/000014.jpg,data/CelebA_Dataset/CelebA/000014.jpg,B_id_to_A_context
pair_000028,celeba_000015,celeba_015015,data/CelebA_Dataset/CelebA/000015.jpg,data/CelebA_Dataset/CelebA/015015.jpg,data/CelebA_Dataset/CelebA/015015.jpg,A_id_to_B_context
pair_000029,celeba_015015,celeba_000015,data/CelebA_Dataset/CelebA/015015.jpg,data/CelebA_Dataset/CelebA/000015.jpg,data/CelebA_Dataset/CelebA/000015.jpg,B_id_to_A_context
pair_000030,celeba_000016,celeba_015016,data/CelebA_Dataset/CelebA/000016.jpg,data/CelebA_Dataset/CelebA/015016.jpg,data/CelebA_Dataset/CelebA/015016.jpg,A_id_to_B_context
pair_000031,celeba_015016,celeba_000016,data/CelebA_Dataset/CelebA/015016.jpg,data/CelebA_Dataset/CelebA/000016.jpg,data/CelebA_Dataset/CelebA/000016.jpg,B_id_to_A_context
pair_000032,celeba_000017,celeba_015017,data/CelebA_Dataset/CelebA/000017.jpg,data/CelebA_Dataset/CelebA/015017.jpg,data/CelebA_Dataset/CelebA/015017.jpg,A_id_to_B_context
pair_000033,celeba_015017,celeba_000017,data/CelebA_Dataset/CelebA/015017.jpg,data/CelebA_Dataset/CelebA/000017.jpg,data/CelebA_Dataset/CelebA/000017.jpg,B_id_to_A_context
pair_000034,celeba_000018,celeba_015018,data/CelebA_Dataset/CelebA/000018.jpg,data/CelebA_Dataset/CelebA/015018.jpg,data/CelebA_Dataset/CelebA/015018.jpg,A_id_to_B_context
pair_000035,celeba_015018,celeba_000018,data/CelebA_Dataset/CelebA/015018.jpg,data/CelebA_Dataset/CelebA/000018.jpg,data/CelebA_Dataset/CelebA/000018.jpg,B_id_to_A_context
pair_000036,celeba_000019,celeba_015019,data/CelebA_Dataset/CelebA/000019.jpg,data/CelebA_Dataset/CelebA/015019.jpg,data/CelebA_Dataset/CelebA/015019.jpg,A_id_to_B_context
