sample_idx,component_name,component_indices,source_id,reference_id,seed
0,eyes,"[0, 1]",celeba_hq_00000,celeba_hq_01000,100
1,eyes,"[0, 1]",celeba_hq_00001,celeba_hq_01001,101
2,eyes,"[0, 1]",celeba_hq_00002,celeba_hq_01002,102
3,eyes,"[0, 1]",celeba_hq_00003,celeba_hq_01003,103
4,eyes,"[0, 1]",celeba_hq_00004,celeba_hq_01004,104
5,eyes,"[0, 1]",celeba_hq_00005,celeba_hq_01005,105
6,eyes,"[0, 1]",celeba_hq_00006,celeba_hq_01006,106
7,eyes,"[0, 1]",celeba_hq_00007,celeba_hq_01007,107
8,eyes,"[0, 1]",celeba_hq_00008,celeba_hq_01008,108
9,eyes,"[0, 1]",celeba_hq_00009,celeba_hq_01009,109
10,eyes,"[0, 1]",celeba_hq_00010,celeba_hq_01010,110
11,eyes,"[0, 1]",celeba_hq_00011,celeba_hq_01011,111
12,eyes,"[0, 1]",celeba_hq_00012,celeba_hq_01012,112
13,eyes,"[0, 1]",celeba_hq_00013,celeba_hq_01013,113
14,eyes,"[0, 1]",celeba_hq_00014,celeba_hq_01014,114
15,eyes,"[0, 1]",celeba_hq_00015,celeba_hq_01015,115
16,eyes,"[0, 1]",celeba_hq_00016,celeba_hq_01016,116
17,eyes,"[0, 1]",celeba_hq_00017,celeba_hq_01017,117
18,eyes,"[0, 1]",celeba_hq_00018,celeba_hq_01018,118
19,eyes,"[0, 1]",celeba_hq_00019,celeba_hq_01019,119
20,eyes,"[0, 1]",celeba_hq_00020,celeba_hq_01020,120
21,eyes,"[0, 1]",celeba_hq_00021,celeba_hq_01021,121
22,eyes,"[0, 1]",celeba_hq_00022,celeba_hq_01022,122
23,eyes,"[0, 1]",celeba_hq_00023,celeba_hq_01023,123
24,eyes,"[0, 1]",celeba_hq_00024,celeba_hq_01024,124
25,eyes,"[0, 1]",celeba_hq_00025,celeba_hq_01025,125
26,eyes,"[0, 1]",celeba_hq_00026,celeba_hq_01026,126
27,eyes,"[0, 1]",celeba_hq_00027,celeba_hq_01027,127
28,eyes,"[0, 1]",celeba_hq_00028,celeba_hq_01028,128
29,eyes,"[0, 1]",celeba_hq_00029,celeba_hq_01029,129
30,eyes,"[0, 1]",celeba_hq_00030,celeba_hq_01030,130
31,eyes,"[0, 1]",celeba_hq_00031,celeba_hq_01031,131
32,eyes,"[0, 1]",celeba_hq_00032,celeba_hq_01032,132
33,eyes,"[0, 1]",celeba_hq_00033,celeba_hq_01033,133
34,eyes,"[0, 1]",celeba_hq_00034,celeba_hq_01034,134
35,eyes,"[0, 1]",celeba_hq_00035,celeba_hq_01035,135
36,eyes,"[0, 1]",celeba_hq_00036,celeba_hq_01036,136
37,eyes,"[0, 1]",celeba_hq_00037,celeba_hq_01037,137
38,eyes,"[0, 1]",celeba_hq_00038,celeba_hq_01038,138
39,eyes,"[0, 1]",celeba_hq_00039,celeba_hq_01039,139
40,eyes,"[0, 1]",celeba_hq_00040,celeba_hq_01040,140
41,eyes,"[0, 1]",celeba_hq_00041,celeba_hq_01041,141
42,eyes,"[0, 1]",celeba_hq_00042,celeba_hq_01042,142
43,eyes,"[0, 1]",celeba_hq_00043,celeba_hq_01043,143
44,eyes,"[0, 1]",celeba_hq_00044,celeba_hq_01044,144
45,eyes,"[0, 1]",celeba_hq_00045,celeba_hq_01045,145
46,eyes,"[0, 1]",celeba_hq_00046,celeba_hq_01046,146
47,eyes,"[0, 1]",celeba_hq_00047,celeba_hq_01047,147
48,eyes,"[0, 1]",celeba_hq_00048,celeba_hq_01048,148
49,eyes,"[0, 1]",celeba_hq_00049,celeba_hq_01049,149
50,eyes,"[0, 1]",celeba_hq_00050,celeba_hq_01050,150
51,eyes,"[0, 1]",celeba_hq_00051,celeba_hq_01051,151
52,eyes,"[0, 1]",celeba_hq_00052,celeba_hq_01052,152
53,eyes,"[0, 1]",celeba_hq_00053,celeba_hq_01053,153
54,eyes,"[0, 1]",celeba_hq_00054,celeba_hq_01054,154
55,eyes,"[0, 1]",celeba_hq_00055,celeba_hq_01055,155
56,eyes,"[0, 1]",celeba_hq_00056,celeba_hq_01056,156
57,eyes,"[0, 1]",celeba_hq_00057,celeba_hq_01057,157
58,eyes,"[0, 1]",celeba_hq_00058,celeba_hq_01058,158
59,eyes,"[0, 1]",celeba_hq_00059,celeba_hq_01059,159
60,eyes,"[0, 1]",celeba_hq_00060,celeba_hq_01060,160
61,eyes,"[0, 1]",celeba_hq_00061,celeba_hq_01061,161
62,eyes,"[0, 1]",celeba_hq_00062,celeba_hq_01062,162
63,eyes,"[0, 1]",celeba_hq_00063,celeba_hq_01063,163
64,eyes,"[0, 1]",celeba_hq_00064,celeba_hq_01064,164
65,eyes,"[0, 1]",celeba_hq_00065,celeba_hq_01065,165
66,eyes,"[0, 1]",celeba_hq_00066,celeba_hq_01066,166
67,eyes,"[0, 1]",celeba_hq_00067,celeba_hq_01067,167
68,eyes,"[0, 1]",celeba_hq_00068,celeba_hq_01068,168
69,eyes,"[0, 1]",celeba_hq_00069,celeba_hq_01069,169
70,eyes,"[0, 1]",celeba_hq_00070,celeba_hq_01070,170
71,eyes,"[0, 1]",celeba_hq_00071,celeba_hq_01071,171
72,eyes,"[0, 1]",celeba_hq_00072,celeba_hq_01072,172
73,eyes,"[0, 1]",celeba_hq_00073,celeba_hq_01073,173
74,eyes,"[0, 1]",celeba_hq_00074,celeba_hq_01074,174
75,eyes,"[0, 1]",celeba_hq_00075,celeba_hq_01075,175
76,eyes,"[0, 1]",celeba_hq_00076,celeba_hq_01076,176
77,eyes,"[0, 1]",celeba_hq_00077,celeba_hq_01077,177
78,eyes,"[0, 1]",celeba_hq_00078,celeba_hq_01078,178
79,eyes,"[0, 1]",celeba_hq_00079,celeba_hq_01079,179
80,eyes,"[0, 1]",celeba_hq_00080,celeba_hq_01080,180
81,eyes,"[0, 1]",celeba_hq_00081,celeba_hq_01081,181
82,eyes,"[0, 1]",celeba_hq_00082,celeba_hq_01082,182
83,eyes,"[0, 1]",celeba_hq_00083,celeba_hq_01083,183
84,eyes,"[0, 1]",celeba_hq_00084,celeba_hq_01084,184
85,eyes,"[0, 1]",celeba_hq_00085,celeba_hq_01085,185
86,eyes,"[0, 1]",celeba_hq_00086,celeba_hq_01086,186
87,eyes,"[0, 1]",celeba_hq_00087,celeba_hq_01087,187
88,eyes,"[0, 1]",celeba_hq_00088,celeba_hq_01088,188
89,eyes,"[0, 1]",celeba_hq_00089,celeba_hq_01089,189
90,eyes,"[0, 1]",celeba_hq_00090,celeba_hq_01090,190
91,eyes,"[0, 1]",celeba_hq_00091,celeba_hq_01091,191
92,eyes,"[0, 1]",celeba_hq_00092,celeba_hq_01092,192
93,eyes,"[0, 1]",celeba_hq_00093,celeba_hq_01093,193
94,eyes,"[0, 1]",celeba_hq_00094,celeba_hq_01094,194
95,eyes,"[0, 1]",celeba_hq_00095,celeba_hq_01095,195
96,eyes,"[0, 1]",celeba_hq_00096,celeba_hq_01096,196
97,eyes,"[0, 1]",celeba_hq_00097,celeba_hq_01097,197
98,eyes,"[0, 1]",celeba_hq_00098,celeba_hq_01098,198
99,eyes,"[0, 1]",celeba_hq_00099,celeba_hq_01099,199
100,eyes,"[0, 1]",celeba_hq_00100,celeba_hq_01100,200
101,eyes,"[0, 1]",celeba_hq_00101,celeba_hq_01101,201
102,eyes,"[0, 1]",celeba_hq_00102,celeba_hq_01102,202
103,eyes,"[0, 1]",celeba_hq_00103,celeba_hq_01103,203
104,eyes,"[0, 1]",celeba_hq_00104,celeba_hq_01104,204
105,eyes,"[0, 1]",celeba_hq_00105,celeba_hq_01105,205
106,eyes,"[0, 1]",celeba_hq_00106,celeba_hq_01106,206
107,eyes,"[0, 1]",celeba_hq_00107,celeba_hq_01107,207
108,eyes,"[0, 1]",celeba_hq_00108,celeba_hq_01108,208
109,eyes,"[0, 1]",celeba_hq_00109,celeba_hq_01109,209
110,eyes,"[0, 1]",celeba_hq_00110,celeba_hq_01110,210
111,eyes,"[0, 1]",celeba_hq_00111,celeba_hq_01111,211
112,eyes,"[0, 1]",celeba_hq_00112,celeba_hq_01112,212
113,eyes,"[0, 1]",celeba_hq_00113,celeba_hq_01113,213
114,eyes,"[0, 1]",celeba_hq_00114,celeba_hq_01114,214
115,eyes,"[0, 1]",celeba_hq_00115,celeba_hq_01115,215
116,eyes,"[0, 1]",celeba_hq_00116,celeba_hq_01116,216
117,eyes,"[0, 1]",celeba_hq_00117,celeba_hq_01117,217
118,eyes,"[0, 1]",celeba_hq_00118,celeba_hq_01118,218
119,eyes,"[0, 1]",celeba_hq_00119,celeba_hq_01119,219
120,eyes,"[0, 1]",celeba_hq_00120,celeba_hq_01120,220
121,eyes,"[0, 1]",celeba_hq_00121,celeba_hq_01121,221
122,eyes,"[0, 1]",celeba_hq_00122,celeba_hq_01122,222
123,eyes,"[0, 1]",celeba_hq_00123,celeba_hq_01123,223
124,eyes,"[0, 1]",celeba_hq_00124,celeba_hq_01124,224
125,eyes,"[0, 1]",celeba_hq_00125,celeba_hq_01125,225
126,eyes,"[0, 1]",celeba_hq_00126,celeba_hq_01126,226
127,eyes,"[0, 1]",celeba_hq_00127,celeba_hq_01127,227
128,eyes,"[0, 1]",celeba_hq_00128,celeba_hq_01128,228
129,eyes,"[0, 1]",celeba_hq_00129,celeba_hq_01129,229
130,eyes,"[0, 1]",celeba_hq_00130,celeba_hq_01130,230
131,eyes,"[0, 1]",celeba_hq_00131,celeba_hq_01131,231
132,eyes,"[0, 1]",celeba_hq_00132,celeba_hq_01132,232
133,eyes,"[0, 1]",celeba_hq_00133,celeba_hq_01133,233
134,eyes,"[0, 1]",celeba_hq_00134,celeba_hq_01134,234
135,eyes,"[0, 1]",celeba_hq_00135,celeba_hq_01135,235
136,eyes,"[0, 1]",celeba_hq_00136,celeba_hq_01136,236
137,eyes,"[0, 1]",celeba_hq_00137,celeba_hq_01137,237
138,eyes,"[0, 1]",celeba_hq_00138,celeba_hq_01138,238
139,eyes,"[0, 1]",celeba_hq_00139,celeba_hq_01139,239
140,eyes,"[0, 1]",celeba_hq_00140,celeba_hq_01140,240
141,eyes,"[0, 1]",celeba_hq_00141,celeba_hq_01141,241
142,eyes,"[0, 1]",celeba_hq_00142,celeba_hq_01142,242
143,eyes,"[0, 1]",celeba_hq_00143,celeba_hq_01143,243
144,eyes,"[0, 1]",celeba_hq_00144,celeba_hq_01144,244
145,eyes,"[0, 1]",celeba_hq_00145,celeba_hq_01145,245
146,eyes,"[0, 1]",celeba_hq_00146,celeba_hq_01146,246
147,eyes,"[0, 1]",celeba_hq_00147,celeba_hq_01147,247
148,eyes,"[0, 1]",celeba_hq_00148,celeba_hq_01148,248
149,eyes,"[0, 1]",celeba_hq_00149,celeba_hq_01149,249
150,eyes,"[0, 1]",celeba_hq_00150,celeba_hq_01150,250
151,eyes,"[0, 1]",celeba_hq_00151,celeba_hq_01151,251
152,eyes,"[0, 1]",celeba_hq_00152,celeba_hq_01152,252
153,eyes,"[0, 1]",celeba_hq_00153,celeba_hq_01153,253
154,eyes,"[0, 1]",celeba_hq_00154,celeba_hq_01154,254
155,eyes,"[0, 1]",celeba_hq_00155,celeba_hq_01155,255
156,eyes,"[0, 1]",celeba_hq_00156,celeba_hq_01156,256
157,eyes,"[0, 1]",celeba_hq_00157,celeba_hq_01157,257
158,eyes,"[0, 1]",celeba_hq_00158,celeba_hq_01158,258
159,eyes,"[0, 1]",celeba_hq_00159,celeba_hq_01159,259
160,eyes,"[0, 1]",celeba_hq_00160,celeba_hq_01160,260
161,eyes,"[0, 1]",celeba_hq_00161,celeba_hq_01161,261
162,eyes,"[0, 1]",celeba_hq_00162,celeba_hq_01162,262
163,eyes,"[0, 1]",celeba_hq_00163,celeba_hq_01163,263
164,eyes,"[0, 1]",celeba_hq_00164,celeba_hq_01164,264
165,eyes,"[0, 1]",celeba_hq_00165,celeba_hq_01165,265
166,eyes,"[0, 1]",celeba_hq_00166,celeba_hq_01166,266
167,eyes,"[0, 1]",celeba_hq_00167,celeba_hq_01167,267
168,eyes,"[0, 1]",celeba_hq_00168,celeba_hq_01168,268
169,eyes,"[0, 1]",celeba_hq_00169,celeba_hq_01169,269
170,eyes,"[0, 1]",celeba_hq_00170,celeba_hq_01170,270
171,eyes,"[0, 1]",celeba_hq_00171,celeba_hq_01171,271
172,eyes,"[0, 1]",celeba_hq_00172,celeba_hq_01172,272
173,eyes,"[0, 1]",celeba_hq_00173,celeba_hq_01173,273
174,eyes,"[0, 1]",celeba_hq_00174,celeba_hq_01174,274
175,eyes,"[0, 1]",celeba_hq_00175,celeba_hq_01175,275
176,eyes,"[0, 1]",celeba_hq_00176,celeba_hq_01176,276
177,eyes,"[0, 1]",celeba_hq_00177,celeba_hq_01177,277
178,eyes,"[0, 1]",celeba_hq_00178,celeba_hq_01178,278
179,eyes,"[0, 1]",celeba_hq_00179,celeba_hq_01179,279
180,eyes,"[0, 1]",celeba_hq_00180,celeba_hq_01180,280
181,eyes,"[0, 1]",celeba_hq_00181,celeba_hq_01181,281
182,eyes,"[0, 1]",celeba_hq_00182,celeba_hq_01182,282
183,eyes,"[0, 1]",celeba_hq_00183,celeba_hq_01183,283
184,eyes,"[0, 1]",celeba_hq_00184,celeba_hq_01184,284
185,eyes,"[0, 1]",celeba_hq_00185,celeba_hq_01185,285
186,eyes,"[0, 1]",celeba_hq_00186,celeba_hq_01186,286
187,eyes,"[0, 1]",celeba_hq_00187,celeba_hq_01187,287
188,eyes,"[0, 1]",celeba_hq_00188,celeba_hq_01188,288
189,eyes,"[0, 1]",celeba_hq_00189,celeba_hq_01189,289
190,eyes,"[0, 1]",celeba_hq_00190,celeba_hq_01190,290
191,eyes,"[0, 1]",celeba_hq_00191,celeba_hq_01191,291
192,eyes,"[0, 1]",celeba_hq_00192,celeba_hq_01192,292
193,eyes,"[0, 1]",celeba_hq_00193,celeba_hq_01193,293
194,eyes,"[0, 1]",celeba_hq_00194,celeba_hq_01194,294
195,eyes,"[0, 1]",celeba_hq_00195,celeba_hq_01195,295
196,eyes,"[0, 1]",celeba_hq_00196,celeba_hq_01196,296
197,eyes,"[0, 1]",celeba_hq_00197,celeba_hq_01197,297
198,eyes,"[0, 1]",celeba_hq_00198,celeba_hq_01198,298
199,eyes,"[0, 1]",celeba_hq_00199,celeba_hq_01199,299
200,eyes,"[0, 1]",celeba_hq_00200,celeba_hq_01200,300
201,eyes,"[0, 1]",celeba_hq_00201,celeba_hq_01201,301
202,eyes,"[0, 1]",celeba_hq_00202,celeba_hq_01202,302
203,eyes,"[0, 1]",celeba_hq_00203,celeba_hq_01203,303
204,eyes,"[0, 1]",celeba_hq_00204,celeba_hq_01204,304
205,eyes,"[0, 1]",celeba_hq_00205,celeba_hq_01205,305
206,eyes,"[0, 1]",celeba_hq_00206,celeba_hq_01206,306
207,eyes,"[0, 1]",celeba_hq_00207,celeba_hq_01207,307
208,eyes,"[0, 1]",celeba_hq_00208,celeba_hq_01208,308
209,eyes,"[0, 1]",celeba_hq_00209,celeba_hq_01209,309
210,eyes,"[0, 1]",celeba_hq_00210,celeba_hq_01210,310
211,eyes,"[0, 1]",celeba_hq_00211,celeba_hq_01211,311
212,eyes,"[0, 1]",celeba_hq_00212,celeba_hq_01212,312
213,eyes,"[0, 1]",celeba_hq_00213,celeba_hq_01213,313
214,eyes,"[0, 1]",celeba_hq_00214,celeba_hq_01214,314
215,eyes,"[0, 1]",celeba_hq_00215,celeba_hq_01215,315
216,eyes,"[0, 1]",celeba_hq_00216,celeba_hq_01216,316
217,eyes,"[0, 1]",celeba_hq_00217,celeba_hq_01217,317
218,eyes,"[0, 1]",celeba_hq_00218,celeba_hq_01218,318
219,eyes,"[0, 1]",celeba_hq_00219,celeba_hq_01219,319
220,eyes,"[0, 1]",celeba_hq_00220,celeba_hq_01220,320
221,eyes,"[0, 1]",celeba_hq_00221,celeba_hq_01221,321
