sample_idx,attribute_idx,attribute_name,source_id,attribute_strength,seed
0,0,5_o_Clock_Shadow,celeba_hq_00000,1.0,42
1,0,5_o_Clock_Shadow,celeba_hq_00001,1.0,43
2,0,5_o_Clock_Shadow,celeba_hq_00002,1.0,44
3,0,5_o_Clock_Shadow,celeba_hq_00003,1.0,45
4,0,5_o_Clock_Shadow,celeba_hq_00004,1.0,46
5,0,5_o_Clock_Shadow,celeba_hq_00005,1.0,47
6,0,5_o_Clock_Shadow,celeba_hq_00006,1.0,48
7,0,5_o_Clock_Shadow,celeba_hq_00007,1.0,49
8,0,5_o_Clock_Shadow,celeba_hq_00008,1.0,50
9,0,5_o_Clock_Shadow,celeba_hq_00009,1.0,51
10,0,5_o_Clock_Shadow,celeba_hq_00010,1.0,52
11,0,5_o_Clock_Shadow,celeba_hq_00011,1.0,53
12,0,5_o_Clock_Shadow,celeba_hq_00012,1.0,54
13,0,5_o_Clock_Shadow,celeba_hq_00013,1.0,55
14,0,5_o_Clock_Shadow,celeba_hq_00014,1.0,56
15,0,5_o_Clock_Shadow,celeba_hq_00015,1.0,57
16,0,5_o_Clock_Shadow,celeba_hq_00016,1.0,58
17,0,5_o_Clock_Shadow,celeba_hq_00017,1.0,59
18,0,5_o_Clock_Shadow,celeba_hq_00018,1.0,60
19,0,5_o_Clock_Shadow,celeba_hq_00019,1.0,61
20,0,5_o_Clock_Shadow,celeba_hq_00020,1.0,62
21,0,5_o_Clock_Shadow,celeba_hq_00021,1.0,63
22,0,5_o_Clock_Shadow,celeba_hq_00022,1.0,64
23,0,5_o_Clock_Shadow,celeba_hq_00023,1.0,65
24,0,5_o_Clock_Shadow,celeba_hq_00024,1.0,66
25,0,5_o_Clock_Shadow,celeba_hq_00025,1.0,67
26,0,5_o_Clock_Shadow,celeba_hq_00026,1.0,68
27,0,5_o_Clock_Shadow,celeba_hq_00027,1.0,69
28,0,5_o_Clock_Shadow,celeba_hq_00028,1.0,70
29,0,5_o_Clock_Shadow,celeba_hq_00029,1.0,71
30,0,5_o_Clock_Shadow,celeba_hq_00030,1.0,72
31,0,5_o_Clock_Shadow,celeba_hq_00031,1.0,73
32,0,5_o_Clock_Shadow,celeba_hq_00032,1.0,74
33,0,5_o_Clock_Shadow,celeba_hq_00033,1.0,75
34,0,5_o_Clock_Shadow,celeba_hq_00034,1.0,76
35,0,5_o_Clock_Shadow,celeba_hq_00035,1.0,77
36,0,5_o_Clock_Shadow,celeba_hq_00036,1.0,78
37,0,5_o_Clock_Shadow,celeba_hq_00037,1.0,79
38,0,5_o_Clock_Shadow,celeba_hq_00038,1.0,80
39,0,5_o_Clock_Shadow,celeba_hq_00039,1.0,81
40,0,5_o_Clock_Shadow,celeba_hq_00040,1.0,82
41,0,5_o_Clock_Shadow,celeba_hq_00041,1.0,83
42,0,5_o_Clock_Shadow,celeba_hq_00042,1.0,84
43,0,5_o_Clock_Shadow,celeba_hq_00043,1.0,85
44,0,5_o_Clock_Shadow,celeba_hq_00044,1.0,86
45,0,5_o_Clock_Shadow,celeba_hq_00045,1.0,87
46,0,5_o_Clock_Shadow,celeba_hq_00046,1.0,88
47,0,5_o_Clock_Shadow,celeba_hq_00047,1.0,89
48,0,5_o_Clock_Shadow,celeba_hq_00048,1.0,90
49,0,5_o_Clock_Shadow,celeba_hq_00049,1.0,91
50,0,5_o_Clock_Shadow,celeba_hq_00050,1.0,92
51,0,5_o_Clock_Shadow,celeba_hq_00051,1.0,93
52,0,5_o_Clock_Shadow,celeba_hq_00052,1.0,94
53,0,5_o_Clock_Shadow,celeba_hq_00053,1.0,95
54,0,5_o_Clock_Shadow,celeba_hq_00054,1.0,96
55,0,5_o_Clock_Shadow,celeba_hq_00055,1.0,97
56,0,5_o_Clock_Shadow,celeba_hq_00056,1.0,98
57,0,5_o_Clock_Shadow,celeba_hq_00057,1.0,99
58,0,5_o_Clock_Shadow,celeba_hq_00058,1.0,100
59,0,5_o_Clock_Shadow,celeba_hq_00059,1.0,101
60,0,5_o_Clock_Shadow,celeba_hq_00060,1.0,102
61,0,5_o_Clock_Shadow,celeba_hq_00061,1.0,103
62,0,5_o_Clock_Shadow,celeba_hq_00062,1.0,104
63,0,5_o_Clock_Shadow,celeba_hq_00063,1.0,105
64,0,5_o_Clock_Shadow,celeba_hq_00064,1.0,106
65,0,5_o_Clock_Shadow,celeba_hq_00065,1.0,107
66,0,5_o_Clock_Shadow,celeba_hq_00066,1.0,108
67,0,5_o_Clock_Shadow,celeba_hq_00067,1.0,109
68,0,5_o_Clock_Shadow,celeba_hq_00068,1.0,110
69,0,5_o_Clock_Shadow,celeba_hq_00069,1.0,111
70,0,5_o_Clock_Shadow,celeba_hq_00070,1.0,112
71,0,5_o_Clock_Shadow,celeba_hq_00071,1.0,113
72,0,5_o_Clock_Shadow,celeba_hq_00072,1.0,114
73,0,5_o_Clock_Shadow,celeba_hq_00073,1.0,115
74,0,5_o_Clock_Shadow,celeba_hq_00074,1.0,116
75,0,5_o_Clock_Shadow,celeba_hq_00075,1.0,117
76,0,5_o_Clock_Shadow,celeba_hq_00076,1.0,118
77,0,5_o_Clock_Shadow,celeba_hq_00077,1.0,119
78,0,5_o_Clock_Shadow,celeba_hq_00078,1.0,120
79,0,5_o_Clock_Shadow,celeba_hq_00079,1.0,121
80,0,5_o_Clock_Shadow,celeba_hq_00080,1.0,122
81,0,5_o_Clock_Shadow,celeba_hq_00081,1.0,123
82,0,5_o_Clock_Shadow,celeba_hq_00082,1.0,124
83,0,5_o_Clock_Shadow,celeba_hq_00083,1.0,125
84,0,5_o_Clock_Shadow,celeba_hq_00084,1.0,126
85,0,5_o_Clock_Shadow,celeba_hq_00085,1.0,127
86,0,5_o_Clock_Shadow,celeba_hq_00086,1.0,128
87,0,5_o_Clock_Shadow,celeba_hq_00087,1.0,129
88,0,5_o_Clock_Shadow,celeba_hq_00088,1.0,130
89,0,5_o_Clock_Shadow,celeba_hq_00089,1.0,131
90,0,5_o_Clock_Shadow,celeba_hq_00090,1.0,132
91,0,5_o_Clock_Shadow,celeba_hq_00091,1.0,133
92,0,5_o_Clock_Shadow,celeba_hq_00092,1.0,134
93,0,5_o_Clock_Shadow,celeba_hq_00093,1.0,135
94,0,5_o_Clock_Shadow,celeba_hq_00094,1.0,136
95,0,5_o_Clock_Shadow,celeba_hq_00095,1.0,137
96,0,5_o_Clock_Shadow,celeba_hq_00096,1.0,138
97,0,5_o_Clock_Shadow,celeba_hq_00097,1.0,139
98,0,5_o_Clock_Shadow,celeba_hq_00098,1.0,140
99,0,5_o_Clock_Shadow,celeba_hq_00099,1.0,141
100,0,5_o_Clock_Shadow,celeba_hq_00100,1.0,142
101,0,5_o_Clock_Shadow,celeba_hq_00101,1.0,143
102,0,5_o_Clock_Shadow,celeba_hq_00102,1.0,144
103,0,5_o_Clock_Shadow,celeba_hq_00103,1.0,145
104,0,5_o_Clock_Shadow,celeba_hq_00104,1.0,146
105,0,5_o_Clock_Shadow,celeba_hq_00105,1.0,147
106,0,5_o_Clock_Shadow,celeba_hq_00106,1.0,148
107,0,5_o_Clock_Shadow,celeba_hq_00107,1.0,149
108,0,5_o_Clock_Shadow,celeba_hq_00108,1.0,150
109,0,5_o_Clock_Shadow,celeba_hq_00109,1.0,151
110,0,5_o_Clock_Shadow,celeba_hq_00110,1.0,152
111,0,5_o_Clock_Shadow,celeba_hq_00111,1.0,153
112,0,5_o_Clock_Shadow,celeba_hq_00112,1.0,154
113,0,5_o_Clock_Shadow,celeba_hq_00113,1.0,155
114,0,5_o_Clock_Shadow,celeba_hq_00114,1.0,156
115,0,5_o_Clock_Shadow,celeba_hq_00115,1.0,157
116,0,5_o_Clock_Shadow,celeba_hq_00116,1.0,158
117,0,5_o_Clock_Shadow,celeba_hq_00117,1.0,159
118,0,5_o_Clock_Shadow,celeba_hq_00118,1.0,160
119,0,5_o_Clock_Shadow,celeba_hq_00119,1.0,161
120,0,5_o_Clock_Shadow,celeba_hq_00120,1.0,162
121,0,5_o_Clock_Shadow,celeba_hq_00121,1.0,163
122,0,5_o_Clock_Shadow,celeba_hq_00122,1.0,164
123,0,5_o_Clock_Shadow,celeba_hq_00123,1.0,165
124,0,5_o_Clock_Shadow,celeba_hq_00124,1.0,166
125,0,5_o_Clock_Shadow,celeba_hq_00125,1.0,167
126,0,5_o_Clock_Shadow,celeba_hq_00126,1.0,168
127,0,5_o_Clock_Shadow,celeba_hq_00127,1.0,169
128,0,5_o_Clock_Shadow,celeba_hq_00128,1.0,170
129,0,5_o_Clock_Shadow,celeba_hq_00129,1.0,171
130,0,5_o_Clock_Shadow,celeba_hq_00130,1.0,172
131,0,5_o_Clock_Shadow,celeba_hq_00131,1.0,173
132,0,5_o_Clock_Shadow,celeba_hq_00132,1.0,174
133,0,5_o_Clock_Shadow,celeba_hq_00133,1.0,175
134,0,5_o_Clock_Shadow,celeba_hq_00134,1.0,176
135,0,5_o_Clock_Shadow,celeba_hq_00135,1.0,177
136,0,5_o_Clock_Shadow,celeba_hq_00136,1.0,178
137,0,5_o_Clock_Shadow,celeba_hq_00137,1.0,179
138,0,5_o_Clock_Shadow,celeba_hq_00138,1.0,180
139,0,5_o_Clock_Shadow,celeba_hq_00139,1.0,181
140,0,5_o_Clock_Shadow,celeba_hq_00140,1.0,182
141,0,5_o_Clock_Shadow,celeba_hq_00141,1.0,183
142,0,5_o_Clock_Shadow,celeba_hq_00142,1.0,184
143,0,5_o_Clock_Shadow,celeba_hq_00143,1.0,185
144,0,5_o_Clock_Shadow,celeba_hq_00144,1.0,186
145,0,5_o_Clock_Shadow,celeba_hq_00145,1.0,187
146,0,5_o_Clock_Shadow,celeba_hq_00146,1.0,188
147,0,5_o_Clock_Shadow,celeba_hq_00147,1.0,189
148,0,5_o_Clock_Shadow,celeba_hq_00148,1.0,190
149,0,5_o_Clock_Shadow,celeba_hq_00149,1.0,191
150,0,5_o_Clock_Shadow,celeba_hq_00150,1.0,192
151,0,5_o_Clock_Shadow,celeba_hq_00151,1.0,193
152,0,5_o_Clock_Shadow,celeba_hq_00152,1.0,194
153,0,5_o_Clock_Shadow,celeba_hq_00153,1.0,195
154,0,5_o_Clock_Shadow,celeba_hq_00154,1.0,196
155,0,5_o_Clock_Shadow,celeba_hq_00155,1.0,197
156,0,5_o_Clock_Shadow,celeba_hq_00156,1.0,198
157,0,5_o_Clock_Shadow,celeba_hq_00157,1.0,199
158,0,5_o_Clock_Shadow,celeba_hq_00158,1.0,200
159,0,5_o_Clock_Shadow,celeba_hq_00159,1.0,201
160,0,5_o_Clock_Shadow,celeba_hq_00160,1.0,202
161,0,5_o_Clock_Shadow,celeba_hq_00161,1.0,203
162,0,5_o_Clock_Shadow,celeba_hq_00162,1.0,204
163,0,5_o_Clock_Shadow,celeba_hq_00163,1.0,205
164,0,5_o_Clock_Shadow,celeba_hq_00164,1.0,206
165,0,5_o_Clock_Shadow,celeba_hq_00165,1.0,207
166,0,5_o_Clock_Shadow,celeba_hq_00166,1.0,208
167,0,5_o_Clock_Shadow,celeba_hq_00167,1.0,209
168,0,5_o_Clock_Shadow,celeba_hq_00168,1.0,210
169,0,5_o_Clock_Shadow,celeba_hq_00169,1.0,211
170,0,5_o_Clock_Shadow,celeba_hq_00170,1.0,212
171,0,5_o_Clock_Shadow,celeba_hq_00171,1.0,213
172,0,5_o_Clock_Shadow,celeba_hq_00172,1.0,214
173,0,5_o_Clock_Shadow,celeba_hq_00173,1.0,215
174,0,5_o_Clock_Shadow,celeba_hq_00174,1.0,216
175,0,5_o_Clock_Shadow,celeba_hq_00175,1.0,217
176,0,5_o_Clock_Shadow,celeba_hq_00176,1.0,218
177,0,5_o_Clock_Shadow,celeba_hq_00177,1.0,219
178,0,5_o_Clock_Shadow,celeba_hq_00178,1.0,220
179,0,5_o_Clock_Shadow,celeba_hq_00179,1.0,221
180,0,5_o_Clock_Shadow,celeba_hq_00180,1.0,222
181,0,5_o_Clock_Shadow,celeba_hq_00181,1.0,223
182,0,5_o_Clock_Shadow,celeba_hq_00182,1.0,224
